SnowToday Calculated SWE Summary Data : 2023-04-15
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (cm)
Column06 : percent of median long-term (25+yr) SWE on this date
Column07 : percent of long-term (25+yr) peak SWE
Column08 : daily change in SWE (cm)
Column09 : State
Column10 : HUC02
Column11 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,percentPeakSWE,dSWE,State,HUC02,HUC04
Peavine Ridge,45.0400,-121.9300,1042.4,49.8,256.0,127.0,-0.8,USOR,HUC17,NaN
Quartz Mountain,42.3200,-120.8300,1743.5,6.9,NaN,NaN,-1.5,USOR,HUC18,NaN
Railroad Overpass,43.6600,-122.2100,816.9,NaN,NaN,NaN,NaN,USOR,HUC17,NaN
Red Hill,45.4600,-121.7000,1344.2,138.2,120.0,108.0,0.0,USOR,HUC17,NaN
Roaring River,43.9000,-122.0300,1508.8,97.0,157.0,124.0,-0.5,USOR,HUC17,NaN
Rock Springs,44.0100,-118.8400,1612.4,NaN,NaN,NaN,NaN,USOR,HUC17,NaN
Saddle Mountain,45.5400,-123.3700,947.9,42.4,NaN,NaN,-0.8,USOR,HUC17,NaN
Salt Creek Falls,43.6100,-122.1200,1286.3,86.1,203.0,160.0,0.0,USOR,HUC17,NaN
Santiam Jct.,44.4400,-121.9500,1140.0,58.4,613.0,133.0,-1.3,USOR,HUC17,NaN
Schneider Meadows,45.0000,-117.1700,1645.9,92.0,157.0,123.0,0.0,USOR,HUC17,NaN
Seine Creek,45.5300,-123.3000,627.9,0.0,NaN,NaN,0.0,USOR,HUC17,NaN
Sevenmile Marsh,42.7000,-122.1400,1737.4,113.3,168.0,143.0,0.0,USOR,HUC18,NaN
Silver Creek,42.9600,-121.1800,1749.6,38.6,NaN,NaN,-1.0,USOR,HUC17,NaN
Silvies,42.7500,-118.6900,2130.6,51.3,163.0,114.0,0.5,USOR,HUC17,NaN
Smith Ridge,44.3000,-122.0400,996.7,31.2,NaN,NaN,-1.3,USOR,HUC17,NaN
Snow Mountain,43.9500,-119.5400,1898.9,49.5,197.0,150.0,0.0,USOR,HUC17,NaN
South Fork Bull Run,45.4500,-122.0300,819.9,37.3,NaN,NaN,0.0,USOR,HUC17,NaN
Starr Ridge,44.2600,-119.0200,1600.2,18.3,NaN,NaN,0.0,USOR,HUC17,NaN
Strawberry,42.1300,-120.8400,1758.7,19.3,NaN,NaN,-2.0,USOR,HUC18,NaN
Summer Rim,42.7000,-120.8000,2158.0,26.7,69.0,57.0,0.0,USOR,HUC18,NaN
Summit Lake,43.4500,-122.1400,1709.9,112.0,111.0,104.0,0.0,USOR,HUC17,NaN
Sun Pass,42.7900,-121.9800,1645.9,69.6,NaN,NaN,-1.5,USOR,HUC18,NaN
Swan Lake Mtn,42.4100,-121.6800,2081.8,81.0,NaN,NaN,0.0,USOR,HUC18,NaN
Taylor Butte,42.6900,-121.4300,1533.1,19.8,NaN,NaN,-1.5,USOR,HUC18,NaN
Taylor Green,45.0800,-117.5500,1749.6,67.3,157.0,121.0,0.0,USOR,HUC17,NaN
Three Creeks Meadow,44.1400,-121.6400,1734.3,41.4,104.0,85.0,-0.5,USOR,HUC17,NaN
Tipton,44.6600,-118.4300,1569.7,35.0,152.0,103.0,0.0,USOR,HUC17,NaN
Toketee Airstrip,43.2300,-122.4300,987.6,15.0,NaN,NaN,-1.5,USOR,HUC17,NaN
Wolf Creek,45.0700,-118.1500,1716.0,45.5,132.0,106.0,0.0,USOR,HUC17,NaN
Blind Park,44.1100,-103.9800,2100.1,16.3,142.0,84.0,-0.5,USSD,HUC10,NaN
North Rapid Creek,44.2100,-103.7900,1868.4,15.2,NaN,NaN,-0.5,USSD,HUC10,NaN
Agua Canyon,37.5200,-112.2700,2712.7,46.5,NaN,NaN,0.0,USUT,HUC16,NaN
Bear River RS,40.8900,-110.8300,2675.2,34.3,NaN,NaN,0.0,USUT,HUC16,NaN
Beaver Dams,39.1400,-111.5600,2435.4,40.9,700.0,156.0,-1.0,USUT,HUC16,NaN
Beaver Divide,40.6100,-111.1000,2523.7,52.1,313.0,169.0,0.0,USUT,HUC16,NaN
Ben Lomond Peak,41.3800,-111.9400,2343.6,210.3,246.0,209.0,0.0,USUT,HUC16,NaN
Ben Lomond Trail,41.3800,-111.9200,1820.3,110.7,454.0,227.0,-1.3,USUT,HUC16,NaN
Bevans Cabin,40.4600,-112.2500,1987.3,29.5,NaN,NaN,0.0,USUT,HUC16,NaN
Big Flat,38.3000,-112.3600,3154.4,91.7,204.0,166.0,0.0,USUT,HUC16,NaN
Black Flat-U.M. Ck,38.6800,-111.6000,2869.4,39.4,212.0,150.0,0.0,USUT,HUC14,NaN
Blacks Fork Jct,40.9600,-110.5800,2703.3,36.1,NaN,NaN,0.0,USUT,HUC14,NaN
Bobs Hollow,38.9500,-112.1500,2840.4,63.0,NaN,NaN,0.0,USUT,HUC16,NaN
Box Creek,38.5100,-112.0200,3003.2,31.2,115.0,92.0,0.0,USUT,HUC16,NaN
Box Springs,38.5000,-112.0100,2812.7,30.0,NaN,NaN,-0.5,USUT,HUC16,NaN
Brian Head,37.6800,-112.8600,3059.9,84.6,NaN,NaN,0.0,USUT,HUC16,NaN
Brighton,40.6000,-111.5800,2671.9,104.1,186.0,170.0,0.0,USUT,HUC16,NaN
Brown Duck,40.5800,-110.5900,3223.0,67.6,145.0,122.0,0.0,USUT,HUC14,NaN
Buck Flat,39.1300,-111.4400,2867.9,70.1,187.0,146.0,0.0,USUT,HUC14,NaN
Buck Pasture,40.8400,-110.6600,2935.8,54.1,NaN,NaN,0.0,USUT,HUC14,NaN
Buckboard Flat,37.8700,-109.4500,2720.0,61.5,NaN,NaN,0.0,USUT,HUC14,NaN
Bug Lake,41.6900,-111.4200,2434.4,78.7,167.0,150.0,0.0,USUT,HUC16,NaN
Burts Miller Ranch,40.9800,-110.8500,2438.4,24.1,NaN,NaN,0.0,USUT,HUC16,NaN
Camp Jackson,37.8100,-109.4900,2699.9,71.4,419.0,192.0,-1.0,USUT,HUC14,NaN
Cascade Mountain,40.2800,-111.6100,2369.5,100.3,NaN,NaN,-0.5,USUT,HUC16,NaN
Castle Valley,37.6600,-112.7400,2928.2,62.7,227.0,165.0,0.0,USUT,HUC16,NaN
Chalk Creek #1,40.8500,-111.0500,2795.3,87.6,146.0,131.0,0.0,USUT,HUC16,NaN
Chalk Creek #2,40.8900,-111.0700,2501.8,62.2,157.0,144.0,0.0,USUT,HUC16,NaN
Chepeta,40.7700,-110.0100,3200.1,57.1,160.0,143.0,0.0,USUT,HUC14,NaN
Clayton Springs,37.9700,-111.8300,3062.9,51.6,NaN,NaN,0.0,USUT,HUC16,NaN
Clear Creek #1,39.8700,-111.2800,2735.6,84.8,211.0,170.0,-0.5,USUT,HUC16,NaN
Clear Creek #2,39.8900,-111.2500,2388.7,64.0,242.0,175.0,-0.8,USUT,HUC16,NaN
Corral,39.6600,-110.3800,2501.5,42.9,NaN,NaN,-0.8,USUT,HUC14,NaN
Currant Creek,40.3600,-111.0900,2412.5,52.8,562.0,194.0,0.0,USUT,HUC14,NaN
Daniels-Strawberry,40.3000,-111.2600,2440.8,70.1,273.0,162.0,-0.5,USUT,HUC16,NaN
Dills Camp,39.0500,-111.4700,2812.7,51.6,226.0,147.0,0.0,USUT,HUC14,NaN
Donkey Reservoir,38.2100,-111.4700,2986.7,26.7,172.0,125.0,0.0,USUT,HUC14,NaN
Dry Bread Pond,41.4100,-111.5400,2530.4,82.8,191.0,158.0,-0.8,USUT,HUC16,NaN
Dry Fork,40.5700,-112.1700,2161.9,58.4,190.0,148.0,0.0,USUT,HUC16,NaN
East Willow Creek,39.3100,-109.5300,2530.4,44.7,NaN,NaN,-0.5,USUT,HUC14,NaN
EF Blacks Fork GS,40.8800,-110.5400,2852.9,36.6,NaN,NaN,0.0,USUT,HUC14,NaN
Farmington,40.9700,-111.8100,2408.5,169.7,204.0,180.0,0.0,USUT,HUC16,NaN
Farmington Lower,40.9900,-111.8200,2066.2,137.7,NaN,NaN,-1.8,USUT,HUC16,NaN
Farnsworth Lake,38.7700,-111.6800,2933.1,70.4,136.0,127.0,0.0,USUT,HUC16,NaN
Fish Lake Utah,38.5000,-111.7700,2681.6,37.6,NaN,NaN,0.0,USUT,HUC14,NaN
Five Points Lake,40.7200,-110.4700,3335.4,66.5,156.0,135.0,0.0,USUT,HUC14,NaN
Garden City Summit,41.9200,-111.4700,2348.5,84.6,NaN,NaN,0.0,USUT,HUC16,NaN
Gardner Peak,37.4000,-113.4600,2536.5,43.7,NaN,NaN,-1.3,USUT,HUC15,NaN
GBRC HQ,39.3200,-111.4900,2682.5,58.4,NaN,NaN,0.0,USUT,HUC16,NaN
GBRC Meadows,39.3000,-111.4500,3004.7,93.2,NaN,NaN,-1.0,USUT,HUC16,NaN
George Creek,41.9200,-113.4100,2732.2,80.5,NaN,NaN,0.0,USUT,HUC17,NaN
Gooseberry RS,38.8000,-111.6800,2421.3,20.8,NaN,NaN,-0.5,USUT,HUC16,NaN
Gooseberry RS Up,38.7900,-111.6900,2559.1,36.1,NaN,NaN,0.0,USUT,HUC16,NaN
Gutz Peak,37.5000,-113.9400,2061.4,45.7,NaN,NaN,-1.8,USUT,HUC15,NaN
Hardscrabble,40.8700,-111.7200,2209.8,96.8,289.0,200.0,0.0,USUT,HUC16,NaN
Harris Flat,37.4900,-112.5800,2375.0,43.4,NaN,NaN,-1.3,USUT,HUC16,NaN
Hayden Fork,40.8000,-110.8800,2782.8,60.7,170.0,140.0,-0.5,USUT,HUC16,NaN
Hewinta,40.9500,-110.4800,2895.6,36.3,142.0,118.0,0.0,USUT,HUC14,NaN
Hickerson Park,40.9100,-109.9600,2780.4,29.0,164.0,132.0,0.0,USUT,HUC14,NaN
Hobble Creek,40.1900,-111.3600,2248.5,61.5,NaN,NaN,0.0,USUT,HUC16,NaN
Hole-in-Rock,40.9200,-110.1900,2794.4,26.2,161.0,124.0,0.0,USUT,HUC14,NaN
Horse Ridge,41.3100,-111.4500,2499.1,84.1,163.0,146.0,0.0,USUT,HUC16,NaN
Huntington Horse,39.6200,-111.3100,2941.9,106.4,NaN,NaN,0.0,USUT,HUC14,NaN
Jones Corral,38.0700,-112.1700,2971.5,54.6,NaN,NaN,0.0,USUT,HUC16,NaN
Kilfoil Creek,41.2500,-111.4100,2200.7,54.4,NaN,NaN,0.0,USUT,HUC16,NaN
Kimberly Mine,38.4800,-112.3900,2774.0,57.9,165.0,135.0,-1.3,USUT,HUC16,NaN
Kings Cabin,40.7200,-109.5400,2660.3,58.2,292.0,198.0,0.0,USUT,HUC14,NaN
Klondike Narrows,41.9700,-111.6000,2209.8,92.7,NaN,NaN,0.0,USUT,HUC16,NaN
Kolob,37.5300,-113.0500,2823.4,121.9,275.0,201.0,-1.3,USUT,HUC15,NaN
Lakefork #1,40.6000,-110.4300,3087.0,48.3,159.0,133.0,0.0,USUT,HUC14,NaN
Lakefork #3,40.5500,-110.3500,2579.8,38.6,NaN,NaN,0.0,USUT,HUC14,NaN
Lakefork Basin,40.7400,-110.6200,3317.7,79.5,150.0,139.0,0.0,USUT,HUC14,NaN
Lasal Mountain,38.4800,-109.2700,2919.4,59.9,238.0,178.0,3.3,USUT,HUC14,NaN
Lasal Mountain-Lower,38.4800,-109.2900,2677.1,40.1,NaN,NaN,1.8,USUT,HUC14,NaN
Lightning Ridge,41.3600,-111.4900,2503.9,84.1,NaN,NaN,0.0,USUT,HUC16,NaN
Lily Lake,40.8600,-110.8000,2783.7,42.7,135.0,120.0,0.0,USUT,HUC16,NaN
Little Bear,41.4100,-111.8300,1995.8,54.9,NaN,NaN,0.0,USUT,HUC16,NaN
Little Grassy,37.4900,-113.8500,1848.6,0.0,NaN,NaN,0.0,USUT,HUC16,NaN
Lonesome Beaver,38.0700,-110.7700,2868.2,35.8,NaN,NaN,1.5,USUT,HUC14,NaN
Long Flat,37.5100,-113.4000,2432.9,36.8,NaN,NaN,-0.8,USUT,HUC16,NaN
Long Valley Jct,37.4900,-112.5100,2275.3,32.8,NaN,NaN,-1.3,USUT,HUC16,NaN
Lookout Peak,40.8400,-111.7100,2487.5,134.4,215.0,190.0,0.0,USUT,HUC16,NaN
Lost Creek Resv,41.2200,-111.3600,1853.8,27.4,NaN,NaN,0.0,USUT,HUC16,NaN
Louis Meadow,40.8300,-111.7600,2042.2,98.8,NaN,NaN,-0.5,USUT,HUC16,NaN
Mammoth-Cottonwood,39.6800,-111.3200,2654.5,90.9,214.0,173.0,-0.8,USUT,HUC16,NaN
Merchant Valley,38.3000,-112.4400,2653.3,65.8,220.0,184.0,-0.8,USUT,HUC16,NaN
Midway Valley,37.5700,-112.8400,2995.3,127.0,225.0,195.0,0.0,USUT,HUC16,NaN
Mill-D North,40.6600,-111.6400,2731.9,144.0,258.0,213.0,0.0,USUT,HUC16,NaN
Mining Fork,40.4900,-112.6100,2528.3,103.9,254.0,209.0,0.0,USUT,HUC16,NaN
Monte Cristo,41.4700,-111.5000,2722.5,115.8,167.0,150.0,0.0,USUT,HUC16,NaN
Mosby Mtn.,40.6100,-109.8900,2911.8,57.7,198.0,159.0,0.0,USUT,HUC14,NaN
Mt Baldy,39.1400,-111.5100,2902.9,105.2,NaN,NaN,0.0,USUT,HUC16,NaN
Mt Pennell,37.9800,-110.7900,2806.9,43.9,NaN,NaN,1.5,USUT,HUC14,NaN
Oak Creek,39.3500,-112.3300,2392.7,52.6,NaN,NaN,-0.8,USUT,HUC16,NaN
Panguitch Lake RS,37.7000,-112.6500,2545.1,27.2,NaN,NaN,-0.5,USUT,HUC16,NaN
Parleys Summit,40.7600,-111.6300,2311.9,84.8,301.0,193.0,0.0,USUT,HUC16,NaN
Parleys Upper,40.7000,-111.6100,2546.0,116.3,NaN,NaN,0.0,USUT,HUC16,NaN
Parrish Creek,40.9300,-111.8100,2359.2,146.1,NaN,NaN,0.0,USUT,HUC16,NaN
Payson R.S.,39.9300,-111.6300,2451.8,80.5,262.0,180.0,-0.8,USUT,HUC16,NaN
Pickle Keg,39.0100,-111.5800,2749.3,64.8,193.0,145.0,-0.8,USUT,HUC16,NaN
Pine Creek,38.8800,-112.2500,2662.1,74.7,149.0,128.0,-0.8,USUT,HUC16,NaN
Red Pine Ridge,39.4500,-111.2700,2739.5,55.4,162.0,128.0,-0.5,USUT,HUC14,NaN
Redden Mine Lwr,40.6800,-111.2200,2600.6,73.2,NaN,NaN,0.0,USUT,HUC16,NaN
Rees Flat,39.5000,-111.7300,2196.4,53.9,NaN,NaN,0.0,USUT,HUC16,NaN
Rock Creek,40.5500,-110.6900,2403.7,32.5,298.0,144.0,-0.5,USUT,HUC14,NaN
Rocky Basin-Settleme,40.4400,-112.2200,2653.0,116.1,212.0,175.0,0.0,USUT,HUC16,NaN
Santaquin Meadows,39.9200,-111.7200,2388.1,87.4,NaN,NaN,-0.5,USUT,HUC16,NaN
Seeley Creek,39.3100,-111.4300,3018.7,58.9,176.0,146.0,0.0,USUT,HUC14,NaN
Smith Morehouse,40.7900,-111.0900,2325.9,56.4,198.0,152.0,0.0,USUT,HUC16,NaN
Snowbird,40.5700,-111.6600,2797.1,179.3,194.0,162.0,0.0,USUT,HUC16,NaN
Spirit Lk,40.8400,-110.0100,3119.6,57.4,NaN,NaN,0.0,USUT,HUC14,NaN
Steel Creek Park,40.9100,-110.5000,3096.2,53.6,131.0,109.0,0.0,USUT,HUC14,NaN
Strawberry Divide,40.1600,-111.2100,2475.9,60.2,191.0,134.0,0.0,USUT,HUC14,NaN
Sunflower Flat,38.0500,-111.3400,3053.5,62.7,NaN,NaN,0.0,USUT,HUC14,NaN
Suu Ranch,37.6000,-112.9300,2453.6,52.6,NaN,NaN,-1.0,USUT,HUC16,NaN
Takka Wiiya,39.7400,-113.9800,2780.4,53.3,NaN,NaN,0.0,USUT,HUC16,NaN
Temple Fork,41.7900,-111.5500,2257.3,68.8,NaN,NaN,0.0,USUT,HUC16,NaN
Thaynes Canyon,40.6200,-111.5300,2813.3,100.3,176.0,159.0,0.0,USUT,HUC16,NaN
Thistle Flat,39.2400,-111.5200,2678.3,58.7,NaN,NaN,-0.5,USUT,HUC16,NaN
Timberline,39.6800,-110.4300,2662.7,56.9,NaN,NaN,-1.0,USUT,HUC14,NaN
Timpanogos Divide,40.4300,-111.6200,2481.1,124.2,296.0,210.0,0.0,USUT,HUC16,NaN
Tony Grove Lake,41.9000,-111.6300,2582.9,121.7,141.0,126.0,-1.8,USUT,HUC16,NaN
Tony Grove RS,41.8900,-111.5700,1930.0,49.3,NaN,NaN,0.0,USUT,HUC16,NaN
Trial Lake,40.6800,-110.9500,3045.6,96.5,171.0,141.0,0.0,USUT,HUC16,NaN
Trout Creek,40.7400,-109.6700,2901.1,50.3,225.0,168.0,0.8,USUT,HUC14,NaN
Upper Joes Valley,39.4200,-111.2500,2620.1,37.6,NaN,NaN,0.0,USUT,HUC14,NaN
Usu Doc Daniel,41.8600,-111.5100,2520.7,110.5,NaN,NaN,0.0,USUT,HUC16,NaN
Vernon Creek,39.9400,-112.4100,2255.8,82.8,577.0,272.0,0.0,USUT,HUC16,NaN
Webster Flat,37.5800,-112.9000,2805.1,82.5,508.0,194.0,0.0,USUT,HUC16,NaN
White River #1,39.9600,-110.9900,2633.8,50.5,233.0,150.0,0.0,USUT,HUC14,NaN
Widtsoe #3,37.8400,-111.8800,2938.3,48.8,197.0,146.0,0.0,USUT,HUC16,NaN
Wrigley Creek,39.1300,-111.3600,2842.9,43.7,NaN,NaN,0.0,USUT,HUC14,NaN
Yankee Reservoir,37.7500,-112.7700,2649.3,33.0,NaN,NaN,-1.0,USUT,HUC16,NaN
Alpine Meadows,47.7800,-121.7000,1066.8,139.4,97.0,97.0,0.0,USWA,HUC17,NaN
Beaver Pass,48.8800,-121.2600,1106.4,82.3,NaN,NaN,0.0,USWA,HUC17,NaN
Blewett Pass,47.3500,-120.6800,1292.4,26.2,105.0,67.0,-0.8,USWA,HUC17,NaN
Brown Top,48.9300,-121.2000,1777.0,134.9,NaN,NaN,0.0,USWA,HUC17,NaN
Buckinghorse,47.7100,-123.4600,1484.4,123.2,NaN,NaN,0.0,USWA,HUC17,NaN
Bumping Ridge,46.8100,-121.3300,1405.1,57.4,88.0,81.0,0.0,USWA,HUC17,NaN
Bunchgrass Mdw,48.6900,-117.1800,1524.0,62.2,91.0,85.0,0.0,USWA,HUC17,NaN
Burnt Mountain,47.0400,-121.9400,1271.0,69.1,NaN,NaN,0.0,USWA,HUC17,NaN
Calamity,45.9000,-122.2200,762.0,17.5,NaN,NaN,0.0,USWA,HUC17,NaN
Cayuse Pass,46.8700,-121.5300,1597.2,151.1,NaN,NaN,-0.8,USWA,HUC17,NaN
Corral Pass,47.0200,-121.4600,1767.8,96.5,103.0,103.0,-0.8,USWA,HUC17,NaN
Cougar Mountain,47.2800,-121.6700,975.4,48.5,120.0,94.0,0.0,USWA,HUC17,NaN
Dungeness,47.8700,-123.0800,1222.2,35.3,NaN,NaN,0.0,USWA,HUC17,NaN
Easy Pass,48.8600,-121.4400,1606.3,215.4,NaN,NaN,0.0,USWA,HUC17,NaN
Elbow Lake,48.6900,-121.9100,926.6,93.2,93.0,96.0,0.0,USWA,HUC17,NaN
Fish Lake,47.5400,-121.0900,1045.5,56.9,80.0,71.0,-1.0,USWA,HUC17,NaN
Gold Axe Camp,48.9500,-118.9900,1633.7,33.3,NaN,NaN,0.0,USWA,HUC17,NaN
Gold Mountain,48.1900,-118.4600,1338.1,25.4,NaN,NaN,0.0,USWA,HUC17,NaN
Green Lake,46.5500,-121.1700,1804.4,74.4,126.0,118.0,0.0,USWA,HUC17,NaN
Grouse Camp,47.2800,-120.4900,1642.9,50.3,129.0,98.0,-0.8,USWA,HUC17,NaN
Harts Pass,48.7200,-120.6600,1978.2,115.6,99.0,93.0,0.0,USWA,HUC17,NaN
Huckleberry Creek,47.0700,-121.5900,685.8,0.0,NaN,NaN,0.0,USWA,HUC17,NaN
Indian Rock,45.9900,-120.8100,1633.7,47.5,NaN,NaN,-0.5,USWA,HUC17,NaN
June Lake,46.1500,-122.1500,1048.5,175.0,176.0,151.0,0.0,USWA,HUC17,NaN
Lone Pine,46.2700,-121.9600,1197.9,127.8,139.0,123.0,0.0,USWA,HUC17,NaN
Lost Horse,46.3600,-121.0800,1560.6,52.6,134.0,111.0,0.0,USWA,HUC17,NaN
Lyman Lake,48.2000,-120.9200,1822.7,128.5,83.0,79.0,0.0,USWA,HUC17,NaN
Lynn Lake,47.2000,-121.7800,1188.7,84.8,NaN,NaN,0.0,USWA,HUC17,NaN
Marten Ridge,48.7600,-121.7000,1072.9,142.5,NaN,NaN,0.5,USWA,HUC17,NaN
Meadows Pass,47.2800,-121.4700,984.5,71.9,110.0,93.0,0.0,USWA,HUC17,NaN
MF Nooksack,48.8200,-121.9300,1514.9,157.5,NaN,NaN,-1.0,USWA,HUC17,NaN
Morse Lake,46.9100,-121.4800,1649.0,135.9,100.0,92.0,1.3,USWA,HUC17,NaN
Moses Mtn,48.3600,-119.0800,1527.0,52.8,141.0,130.0,0.0,USWA,HUC17,NaN
Mount Crag,47.7600,-123.0300,1207.0,99.8,134.0,124.0,0.0,USWA,HUC17,NaN
Mount Gardner,47.3600,-121.5700,890.0,27.7,102.0,62.0,0.0,USWA,HUC17,NaN
Mowich,46.9300,-121.9500,963.2,0.0,NaN,NaN,0.0,USWA,HUC17,NaN
Muckamuck,48.5900,-119.8700,1362.5,22.4,NaN,NaN,0.0,USWA,HUC17,NaN
Olallie Meadows,47.3700,-121.4400,1228.3,145.8,107.0,101.0,0.0,USWA,HUC17,NaN
Paradise,46.7800,-121.7500,1563.6,170.9,93.0,86.0,0.0,USWA,HUC17,NaN
Park Creek Ridge,48.4400,-120.9200,1402.1,100.6,87.0,83.0,0.0,USWA,HUC17,NaN
Pepper Creek,46.1000,-121.9600,652.3,19.1,NaN,NaN,-1.3,USWA,HUC17,NaN
Pigtail Peak,46.6200,-121.3900,1767.8,110.2,81.0,74.0,0.0,USWA,HUC17,NaN
Pinto Rock,46.3200,-121.9400,1353.3,119.4,NaN,NaN,-1.5,USWA,HUC17,NaN
Pope Ridge,47.9900,-120.5700,1094.2,43.2,146.0,95.0,-0.5,USWA,HUC17,NaN
Potato Hill,46.3500,-121.5100,1374.6,95.0,134.0,124.0,0.5,USWA,HUC17,NaN
Quartz Peak,47.8800,-117.0900,1432.6,55.4,121.0,99.0,0.0,USWA,HUC17,NaN
Rainy Pass,48.5200,-120.7400,1490.5,78.7,82.0,75.0,0.0,USWA,HUC17,NaN
Rex River,47.3000,-121.6000,1161.3,100.3,108.0,102.0,-0.8,USWA,HUC17,NaN
Salmon Meadows,48.6600,-119.8400,1359.4,33.3,202.0,122.0,0.0,USWA,HUC17,NaN
Sasse Ridge,47.3800,-121.0600,1322.8,74.7,98.0,86.0,-0.5,USWA,HUC17,NaN
Satus Pass,45.9900,-120.6800,1207.0,38.6,NaN,NaN,-0.5,USWA,HUC17,NaN
Sawmill Ridge,47.1600,-121.4200,1414.3,97.0,NaN,NaN,0.0,USWA,HUC17,NaN
Sentinel Butte,48.8600,-118.4000,1426.5,35.8,NaN,NaN,0.0,USWA,HUC17,NaN
Sheep Canyon,46.1900,-122.2500,1216.2,147.3,149.0,139.0,0.0,USWA,HUC17,NaN
Skate Creek,46.6400,-121.8300,1149.1,106.9,NaN,NaN,0.0,USWA,HUC17,NaN
Skookum Creek,47.6800,-121.6100,1008.9,124.7,125.0,130.0,1.3,USWA,HUC17,NaN
Sourdough Gulch,46.2400,-117.3900,1219.2,0.0,NaN,NaN,0.0,USWA,HUC17,NaN
Spencer Meadow,46.1800,-121.9300,1036.3,90.9,124.0,106.0,-0.5,USWA,HUC17,NaN
Spirit Lake,46.2600,-122.1800,1072.9,57.4,NaN,NaN,-0.8,USWA,HUC17,NaN
Spruce Springs,46.1800,-117.5400,1737.4,30.2,NaN,NaN,0.5,USWA,HUC17,NaN
Stampede Pass,47.2700,-121.3400,1173.5,88.9,94.0,83.0,0.0,USWA,HUC17,NaN
Stevens Pass,47.7500,-121.0900,1204.0,96.5,96.0,94.0,-0.8,USWA,HUC17,NaN
Surprise Lakes,46.0900,-121.7600,1307.6,139.7,117.0,112.0,-0.5,USWA,HUC17,NaN
Swamp Creek,48.5700,-120.7800,1197.9,41.1,NaN,NaN,-1.0,USWA,HUC17,NaN
Swift Creek,46.1600,-122.1800,1353.3,240.5,NaN,NaN,0.0,USWA,HUC17,NaN
Thunder Basin,48.5300,-120.9900,1316.7,72.6,99.0,89.0,-0.5,USWA,HUC17,NaN
Tinkham Creek,47.3300,-121.4700,911.4,73.9,111.0,100.0,0.0,USWA,HUC17,NaN
Touchet,46.1200,-117.8500,1685.5,82.3,116.0,99.0,0.0,USWA,HUC17,NaN
Trinity,48.0700,-120.8500,893.1,61.7,NaN,NaN,-1.3,USWA,HUC17,NaN
Trough,47.2300,-120.2900,1670.3,42.2,194.0,139.0,0.0,USWA,HUC17,NaN
Upper Wheeler,47.2900,-120.3700,1319.8,33.3,132.0,102.0,0.0,USWA,HUC17,NaN
Waterhole,47.9400,-123.4300,1527.0,78.7,NaN,NaN,0.0,USWA,HUC17,NaN
Wells Creek,48.8700,-121.7900,1228.3,89.2,99.0,102.0,0.0,USWA,HUC17,NaN
White Pass E.S.,46.6400,-121.3800,1353.3,64.8,117.0,107.0,0.0,USWA,HUC17,NaN
Bald Mtn.,44.8000,-107.8400,2859.0,49.0,100.0,84.0,0.0,USWY,HUC10,NaN
Base Camp,43.9400,-110.4500,2151.9,48.8,132.0,107.0,0.0,USWY,HUC17,NaN
Battle Mountain,41.0500,-107.2700,2267.7,38.6,245.0,128.0,0.0,USWY,HUC14,NaN
Bear Trap Meadow,43.8900,-107.0600,2499.4,21.1,169.0,121.0,0.0,USWY,HUC10,NaN
Beartooth Lake,44.9400,-109.5700,2852.9,52.6,92.0,82.0,0.5,USWY,HUC10,NaN
Big Goose,44.5800,-107.2000,2435.4,26.2,110.0,100.0,0.0,USWY,HUC10,NaN
Big Sandy Opening,42.6500,-109.2600,2767.6,38.6,118.0,106.0,0.0,USWY,HUC14,NaN
Blackhall Mtn,41.0600,-106.7100,2993.1,94.5,NaN,NaN,0.5,USWY,HUC10,NaN
Blackwater,44.3800,-109.7900,2980.9,57.9,95.0,81.0,0.8,USWY,HUC10,NaN
Blind Bull Sum,42.9600,-110.6100,2636.5,68.1,109.0,96.0,-0.8,USWY,HUC14,NaN
Bone Springs Div,44.6800,-107.5800,2849.9,40.1,94.0,80.0,0.0,USWY,HUC10,NaN
Brooklyn Lake,41.3600,-106.2300,3121.2,62.2,106.0,95.0,0.8,USWY,HUC10,NaN
Burgess Junction,44.7900,-107.5300,2401.8,31.2,102.0,92.0,0.0,USWY,HUC10,NaN
Burroughs Creek,43.7000,-109.6700,2667.0,27.9,85.0,73.0,0.0,USWY,HUC10,NaN
Canyon,44.7200,-110.5100,2398.8,38.1,121.0,105.0,0.0,USWY,HUC10,NaN
Casper Mtn.,42.7300,-106.3200,2407.9,36.6,101.0,85.0,0.5,USWY,HUC10,NaN
Castle Creek,43.6700,-109.3800,2560.3,13.5,NaN,NaN,0.0,USWY,HUC10,NaN
Cinnabar Park,41.2400,-106.2300,2918.2,45.7,NaN,NaN,1.0,USWY,HUC10,NaN
Cloud Peak Reservoir,44.4000,-107.0600,3005.3,40.1,102.0,85.0,0.0,USWY,HUC10,NaN
Cold Springs,43.2800,-109.4500,2935.2,19.6,115.0,87.0,0.5,USWY,HUC10,NaN
Cole Canyon,44.4900,-104.4100,1801.4,17.0,NaN,NaN,0.0,USWY,HUC10,NaN
Cottonwood Creek,42.6500,-110.8100,2337.8,65.3,130.0,111.0,0.8,USWY,HUC17,NaN
